longitude	longitude_bnds	latitude	latitude_bnds	time..YYYYMMDDHHMMSS.	time_bnds..YYYYMMDDHHMMSS.	altitude..km.	alt_bnds..km.	fluorescence_offset_relative_771nm_idp	fluorescence_offset_relative_757nm_idp	xco2..Moles.Mole...1..
-44.5138549804688	-44.6363525391:-44.3913574219	-25.3375625564543	-25.4624273747:-25.2126977382	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	0.0193977	-0.0229661	0.00039633
-44.5138549804688	-44.6363525391:-44.3913574219	-25.0878329200032	-25.2126977382:-24.9629681018	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	0.00984452	-0.0800158	0.000396202
-44.5138549804688	-44.6363525391:-44.3913574219	-24.8381032835521	-24.9629681018:-24.7132384653	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	0.00490108	0.155483	0.000395536
-44.5138549804688	-44.6363525391:-44.3913574219	-24.588373647101	-24.7132384653:-24.4635088289	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	-0.0144223	-0.0812871	0.000395526
-44.5138549804688	-44.6363525391:-44.3913574219	-24.3386440106499	-24.4635088289:-24.2137791924	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	0.00631714	0.0161581	0.000397189
-44.5138549804688	-44.6363525391:-44.3913574219	-24.0889143741988	-24.2137791924:-23.964049556	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	-0.0331879	-0.00269863	0.000396394
-44.2688598632812	-44.3913574219:-44.1463623047	-25.5872921929054	-25.7121570111:-25.4624273747	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	-0.00340154	0.133837	0.000396724
-44.2688598632812	-44.3913574219:-44.1463623047	-25.3375625564543	-25.4624273747:-25.2126977382	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	-0.0251397	-0.0248282	0.000396706
-44.2688598632812	-44.3913574219:-44.1463623047	-25.0878329200032	-25.2126977382:-24.9629681018	20160106120000	20160106000000:20160107000000	798.144104003906	0.0:1596.28820801	0.00518799	-999999	0.000396851
-44.0238647460938	-44.1463623047:-43.9013671875	-19.8435105545303	-19.9683753728:-19.7186457363	20160131120000	20160131000000:20160201000000	798.144104003906	0.0:1596.28820801	0.00458984	0.0245809	0.000397529
